iter	Passed	Remaining
0	57	5681
1	58	2846
2	58	1898
3	59	1424
4	59	1138
5	60	948
6	62	825
7	62	722
8	63	641
9	64	577
10	64	524
11	65	482
12	66	445
13	67	413
14	68	385
15	68	360
16	69	338
17	70	319
18	70	301
19	71	285
20	72	271
21	72	258
22	73	245
23	74	234
24	74	224
25	75	214
26	76	205
27	76	197
28	77	189
29	78	182
30	79	175
31	80	170
32	80	163
33	81	158
34	82	152
35	82	147
36	83	142
37	84	137
38	84	132
39	85	128
40	86	124
41	86	120
42	87	116
43	88	112
44	89	108
45	89	105
46	90	101
47	91	98
48	91	95
49	92	92
50	93	89
51	93	86
52	94	83
53	95	81
54	95	78
55	96	75
56	97	73
57	98	71
58	98	68
59	99	66
60	100	64
61	101	61
62	101	59
63	102	57
64	103	55
65	104	53
66	104	51
67	105	49
68	106	47
69	107	45
70	107	44
71	108	42
72	109	40
73	110	38
74	110	36
75	111	35
76	112	33
77	113	31
78	113	30
79	114	28
80	115	26
81	115	25
82	116	23
83	117	22
84	118	20
85	119	19
86	120	17
87	121	16
88	122	15
89	123	13
90	124	12
91	126	10
92	127	9
93	128	8
94	129	6
95	130	5
96	131	4
97	131	2
98	132	1
99	133	0
